group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=4,4,1,,1,2,0.009333333333333334,0.004833333333333334,0.00900745819190063,1,true,0.0625,0.20833333333333334,1.62
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),无,0,0.3333333333333333,,1,3,0.813,0.462,1,0,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),无,0,0.5,,1,3,0.822,0.468,1,0,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),无,0,0.6666666666666666,,1,3,0.83,0.47333333333333333,1,0,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),无,0,1,,1,3,0.846,0.484,1,0,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),四角,0,0.3333333333333333,,1,3,0.017333333333333333,0.010444444444444444,0.07126759291617552,0.00001910855411468848,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),四角,0,0.5,,1,3,0.004333333333333333,0.0026666666666666666,8.326672684688674e-16,1,true,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),四角,0,0.6666666666666666,,1,3,0.003,0.0014444444444444444,0,1,true,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),四角,0,1,,1,3,0.13866666666666666,0.084,1,0,false,0,0.3333333333333333,2.592
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=3,3,0.3333333333333333,,1,3,0.016666666666666666,0.010222222222222223,0.05171424426115995,0.027231873168590104,false,0.11145833333333334,0.29618055555555556,2.3031
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=3,3,0.5,,1,3,0.003,0.002111111111111111,0,1,true,0.11145833333333334,0.29618055555555556,2.3031
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=3,3,0.6666666666666666,,1,3,0.0026666666666666666,0.0015555555555555555,0,1,true,0.11145833333333334,0.29618055555555556,2.3031
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=3,3,1,,1,3,0.12066666666666667,0.07633333333333334,0.9999999999999989,0,false,0.11145833333333334,0.29618055555555556,2.3031
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=4,4,0.3333333333333333,,1,3,0.016666666666666666,0.010222222222222223,0.05171424426115995,0.027231873168590104,false,0.0625,0.3125,2.43
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=4,4,0.5,,1,3,0.003,0.002111111111111111,0,1,true,0.0625,0.3125,2.43
B,纯颜色型,native,0.520316,3,,,,3,3,3 bit (8色),密集N=4,4,0.6666666666666666,,1,3,0.0026666666666666666,0.0015555555555555555,0,1,true,0.0625,0.3125,2.43
